timestamp,username,total_commits,avg_commits_per_week,lines_added,lines_deleted,net_lines,prs_created,prs_merged,avg_pr_turnaround_hours,review_comments,prs_reviewed,active_repos_count,active_repos,analysis_period_weeks,start_date,end_date
2025-09-17T04:57:58.416326+00:00,pa000-simreka,389,32.42,470629,69211,401418,21,21,0.01,2,185,7,"base-backend, base-frontend, demo-backend, demo-frontend, git-kt, nile-backend, nile-frontend",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,kp000-simreka,253,21.08,335395,224482,110913,76,73,0.07,0,24,4,"Project-Bheeshma, Tigris-BE, caseStudyPdfGenerator, formulation_generator",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,km000-simreka,144,12.00,4119904,284240,3835664,3,3,0.11,0,7,1,Tigris-FE,12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,akash000-simreka,119,9.92,39918,28264,11654,33,31,6.70,0,1,3,"base-backend, base-frontend, demo-frontend",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,sjg000-simreka,118,9.83,52047,34975,17072,42,41,31.01,0,0,6,"base-backend, base-frontend, demo-backend, demo-frontend, nile-backend, nile-frontend",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,sen-000-sim,106,8.83,55125,45331,9794,36,28,20.81,0,0,2,"base-backend, base-frontend",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,dee-000-sim,100,8.33,43394,5177,38217,74,70,4.98,0,0,8,"base-backend, base-frontend, caseStudyPdfGenerator, demo-backend, demo-frontend, nile-backend, nile-frontend, pdf-exploration",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,pr000-simreka,69,5.75,84630,3743,80887,3,3,0.04,0,9,2,"Project-Bheeshma, Tigris-BE",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,j000-simreka,64,5.33,37425,3002,34423,0,0,0.00,0,35,10,"base-backend, base-frontend, caseStudyPdfGenerator, demo-backend, demo-frontend, ml_service_calc_demo, nile-backend, nile-frontend, pdf-exploration, process-simulation-service",12,2025-06-25,2025-09-17
2025-09-17T04:57:58.416326+00:00,sg000-simreka,52,4.33,74943,69307,5636,6,6,15.60,0,1,1,Project-Bheeshma,12,2025-06-25,2025-09-17
